X_Axis;Y_Axis;Z_Axis;Sum_Vectors;label
0.26;0;0;0.26;0
0.26;0;0;0.26;0
0.47;0.02;0;0.47;0
0.42;0.02;0;0.42;0
0.36;0.09;0;0.38;0
0.43;0.04;0;0.43;0
0.56;0.03;0;0.56;0
0.41;0.01;0;0.41;0
0.33;0.01;0;0.33;0
0.16;0;0;0.16;0
0.11;0;0;0.11;0
0.06;0;0;0.06;0
0.06;0;0;0.06;0
0.18;0.02;0.02;0.18;0
0.17;0.07;0.02;0.19;0
0.13;0.11;0.02;0.18;0
0.17;0.14;0.05;0.23;0
0.27;0.19;0.07;0.34;0
0.31;0.23;0.09;0.4;0
0.22;0.18;0.06;0.29;0
0.17;0.15;0.05;0.23;0
0.15;0.14;0.04;0.21;0
0.17;0.15;0.06;0.23;0
0.19;0.14;0.07;0.25;0
0.22;0.17;0.14;0.32;0
0.18;0.29;0.13;0.37;0
0.25;0.31;0.13;0.42;0
0.26;0.34;0.16;0.46;0
0.21;0.29;0.15;0.39;0
0.17;0.21;0.1;0.3;0
0.17;0.2;0.09;0.28;0
0.17;0.2;0.09;0.28;0
0.3;0.22;0.08;0.38;0
0.3;0.22;0.08;0.38;0
0.47;0.29;0.21;0.6;0
0.69;0.49;0.25;0.89;0
0.74;0.52;0.2;0.93;0
0.54;0.4;0.15;0.69;0
0.58;0.5;0.14;0.78;0
0.62;0.39;0.12;0.75;0
0.51;0.58;0.14;0.79;0
0.47;0.63;0.22;0.82;0
0.5;0.61;0.24;0.83;0
0.56;0.56;0.17;0.82;0
0.63;0.47;0.14;0.8;0
0.53;0.44;0.14;0.7;0
0.41;0.47;0.13;0.64;0
0.5;0.6;0.14;0.79;0
0.57;0.72;0.13;0.93;0
0.76;0.48;0.14;0.91;0
0.76;0.48;0.14;0.91;0
0.58;0.47;0.18;0.77;0
0.52;1.06;0.44;1.26;0
0.62;1.22;0.35;1.41;0
0.51;0.99;0.22;1.14;0
0.52;0.93;0.47;1.17;0
0.52;0.93;0.47;1.17;0
0.65;0.78;0.42;1.1;0
0.63;0.67;0.33;0.98;0
0.49;0.57;0.27;0.8;0
0.81;0.58;0.22;1.03;0
0.64;0.58;0.23;0.9;0
0.46;0.62;0.47;0.9;0
0.64;0.91;0.36;1.17;0
0.65;1.07;0.46;1.34;0
1.04;0.89;0.6;1.49;0
1.17;0.74;0.67;1.54;0
1.48;1.33;0.65;2.1;0
1.34;1.42;0.65;2.06;0
1.37;1.34;0.77;2.07;0
1.32;1.03;0.78;1.85;0
1.3;0.97;0.86;1.84;0
1.31;1.06;0.86;1.9;0
1.01;0.88;0.64;1.49;0
1.11;0.58;0.41;1.32;0
0.93;0.46;0.34;1.09;0
0.88;0.63;0.35;1.14;0
0.96;0.92;0.77;1.55;0
0.96;1.16;0.68;1.66;0
0.66;1.37;0.59;1.63;0
0.57;1.37;0.48;1.56;0
0.71;1.11;0.57;1.44;0
0.58;1.31;0.47;1.52;0
0.81;1.49;0.46;1.76;0
0.98;1.02;1.05;1.77;0
1.34;1;1.15;2.04;0
1.91;1.07;1.11;2.46;0
1.73;1.25;0.89;2.32;0
1.5;1.2;0.72;2.05;0
1.79;1.36;0.66;2.35;0
2.04;1.37;0.61;2.54;0
2.13;1.29;0.53;2.55;0
2.05;1.52;0.6;2.63;0
2.08;2;0.61;2.95;0
2.05;2.06;0.73;3;0
1.61;2.15;0.76;2.79;0
1.13;1.99;0.82;2.44;0
0.96;1.87;0.78;2.25;0
0.85;1.84;0.83;2.19;0
0.87;1.88;0.84;2.24;0
1.05;1.75;0.85;2.21;0
0.91;1.69;0.76;2.06;0
0.97;1.79;0.75;2.17;0
0.89;1.69;0.73;2.05;0
0.82;1.59;0.68;1.92;0
0.74;1.6;0.69;1.9;0
0.81;1.58;0.74;1.93;0
0.88;1.92;0.85;2.28;0
0.98;2.11;0.93;2.51;0
1.27;2.08;0.91;2.6;0
1.44;2.26;0.98;2.86;0
1.24;2.44;1;2.92;0
1.28;2.68;1.05;3.16;0
1.26;2.32;0.91;2.79;0
1.21;2.18;0.85;2.63;0
1.15;2.58;1.01;3;0
1.09;2.55;1;2.95;0
1.82;2.28;0.94;3.07;0
1.43;2.08;0.88;2.68;0
1.44;3.01;1.34;3.6;0
1.3;2.84;1.21;3.35;0
1.16;2.82;1.17;3.27;0
1.12;2.75;1.14;3.18;0
1.15;2.66;1.05;3.09;0
